Title: A Companionship Study of the Hipparcos-Gaia Catalog of Accelerations using Direct Imaging with NIRC2 at Keck
Authors: Schonhut-Stasik J.S., Dupuy T.
Table: Astrometric Accelerations for All HGCA-KOA Stars 
================================================================================
Column	Parameter			Unit
--------------------------------------------------------------------------------
1	HIP ID				dimensionless
2	RA Acceleration 		m/s/yr	
3	RA Acceleration error		m/s/yr
4	Dec Acceleration 		m/s/yr
5	Dec Acceleration error		m/s/yr
6	Astrometric acceleration	m/s/yr
7	Astrometric acceleration error	m/s/yr
--------------------------------------------------------------------------------
hip_id,accel_ra,ra_err,accel_dec,dec_err,acceleration,accel_err
101184,561.73,26.23,-24.91,11.67,562.28,26.03
109561,-135.06,37.73,95.91,22.57,165.65,31.76
50887,12.17,6.40,-21.97,6.91,25.12,6.79
4804,38.62,21.37,406.20,9.83,408.03,10.60
111685,-271.81,25.65,-48.76,14.60,276.15,25.80
4806,-33.38,18.54,-70.32,11.12,77.84,13.61
94931,-18.88,1.51,-7.48,0.84,20.31,1.49
117972,-307.31,23.11,91.35,9.28,320.60,21.11
21543,182.67,30.23,-107.47,11.47,211.94,23.64
71898,9.42,1.23,-0.86,1.31,9.46,1.23
63510,38.04,3.71,-52.21,0.88,64.60,1.22
99140,-39.53,4.60,-36.00,2.04,53.47,4.09
15300,-5.05,3.25,8.56,2.02,9.94,2.25
118004,226.04,11.60,6.33,4.41,226.13,11.65
29997,-53.15,15.06,-167.85,9.38,176.07,10.48
40470,-70.25,23.01,81.72,11.61,107.76,15.44
57271,92.24,1.23,-68.37,0.62,114.82,0.97
115951,11.12,1.70,20.01,0.88,22.90,1.25
92919,-1.13,0.60,2.17,0.49,2.44,0.51
95015,5.47,2.98,-6.63,1.90,8.60,2.28
61481,-0.77,0.95,-55.56,0.60,55.56,0.60
88745,-159.29,1.92,-99.37,1.10,187.74,1.82
63584,-9.17,1.67,6.36,0.85,11.16,1.34
27949,147.77,14.63,-114.86,8.01,187.17,11.67
90855,172.64,14.55,-232.95,11.75,289.95,12.67
30060,259.96,15.85,112.93,8.32,283.43,15.59
80378,-325.97,10.84,56.73,5.37,330.87,10.48
38449,200.41,8.75,-3.67,4.56,200.45,8.73
21654,-252.19,9.18,67.64,3.30,261.10,8.40
105521,-43.06,3.91,20.16,2.78,47.54,3.67
67808,-52.56,4.70,426.23,2.55,429.46,2.48
78317,70.88,14.70,36.44,7.27,79.70,14.30
4967,-123.84,2.57,57.53,1.58,136.54,2.34
53175,-9.29,2.37,-4.70,1.49,10.41,2.29
19591,26.05,48.75,-247.21,29.19,248.58,28.79
84606,41.42,16.62,-61.82,8.99,74.42,10.69
111854,-80.31,1.94,-1.12,1.12,80.32,1.95
15439,149.43,4.26,123.91,3.08,194.12,3.91
93017,-151.66,1.73,-9.39,0.98,151.95,1.74
88848,-176.79,3.91,-149.65,2.64,231.62,3.55
90946,-69.28,9.12,122.30,5.43,140.56,6.06
103502,113.41,32.81,31.73,17.77,117.77,32.87
80474,-73.38,11.52,140.80,5.08,158.78,5.63
101421,38.85,42.70,140.75,25.35,146.02,28.35
101425,-56.05,75.41,280.34,57.82,285.89,58.09
42723,-2.07,3.03,8.47,1.45,8.72,1.38
97255,26.02,1.51,31.19,0.80,40.62,1.25
2945,184.29,30.14,-93.79,10.76,206.78,24.36
118212,24.21,14.91,108.32,7.42,110.99,8.66
109831,93.15,8.82,76.04,4.29,120.24,8.00
116132,27.29,0.55,2.65,0.29,27.42,0.56
63742,8.95,13.46,14.04,8.57,16.65,10.74
65846,-466.72,7.07,-100.56,2.89,477.43,7.19
9275,11.61,2.53,6.22,1.63,13.17,2.43
40687,2.21,2.89,-7.78,1.51,8.09,1.49
63762,-39.73,1.84,2.50,0.75,39.81,1.82
84736,233.01,17.38,254.55,12.80,345.10,15.41
13460,-202.83,3.30,-97.76,2.41,225.16,3.20
51200,-158.00,3.95,223.42,3.12,273.65,3.37
76372,380.74,30.99,-107.18,23.03,395.54,30.21
84745,-248.32,49.47,-240.26,25.86,345.53,43.20
38625,15.74,7.22,21.68,3.06,26.79,5.69
76382,-61.75,6.37,117.43,5.47,132.68,5.64
23932,2.42,0.78,1.89,0.55,3.07,0.72
74284,164.97,7.59,56.11,4.83,174.25,7.51
7236,-38.74,13.98,-402.19,7.30,404.05,7.68
19762,41.73,33.92,-247.74,13.60,251.23,12.00
65911,59.14,8.55,108.39,4.47,123.48,6.26
91085,-9.38,2.91,7.15,1.58,11.80,2.33
21881,339.40,58.08,68.13,21.85,346.17,59.28
103655,-143.05,1.72,63.29,0.95,156.43,1.55
5176,4.30,3.28,51.75,1.60,51.93,1.69
109952,20.62,6.47,-17.50,4.56,27.05,5.59
19808,-36.92,6.56,-30.54,2.65,47.91,5.99
36626,45.83,4.68,185.06,2.51,190.65,2.88
999,126.92,11.50,-179.78,6.12,220.06,7.44
95319,-2.32,0.36,-5.65,0.25,6.10,0.28
19822,136.32,14.48,46.02,6.68,143.88,14.54
82757,-15.16,3.97,45.80,2.32,48.24,2.37
7320,502.32,39.81,286.74,18.80,578.40,38.37
5237,262.94,36.30,-71.41,13.25,272.47,33.24
32480,-3.30,3.76,-5.03,2.20,6.02,2.96
47133,-5.24,1.97,-3.92,1.08,6.54,1.81
103744,-203.27,19.10,271.71,11.66,339.33,13.84
59748,115.55,1.36,11.50,0.88,116.12,1.37
3169,-21.76,4.54,24.37,2.15,32.67,2.98
26196,-90.51,1.96,15.20,0.92,91.78,1.90
7372,346.23,13.79,152.68,5.75,378.40,13.73
105860,24.58,9.13,-20.52,5.42,32.02,7.38
3185,217.70,7.18,142.67,4.84,260.28,6.76
59780,199.30,24.72,-116.72,12.40,230.96,20.69
26220,-636.45,230.02,285.22,130.30,697.43,207.82
26221,89.80,163.98,-87.88,76.30,125.65,112.88
17830,6.15,6.42,155.64,2.61,155.76,2.73
5310,-155.87,16.41,18.00,10.45,156.91,16.22
84949,87.48,28.01,237.08,16.20,252.70,19.25
114294,69.08,6.64,234.67,4.34,244.63,4.72
107985,-6.94,2.35,-3.48,1.58,7.76,2.27
116384,-7.66,1.17,10.32,0.64,12.85,0.78
76598,72.33,6.77,13.67,3.73,73.61,6.81
1134,23.77,4.17,-33.92,1.20,41.42,1.60
72411,-186.43,48.99,-101.17,30.32,212.11,47.01
78709,376.00,2.86,86.28,1.63,385.77,2.87
93408,-20.68,7.81,141.91,4.79,143.41,4.74
87118,320.09,28.74,-219.97,15.93,388.39,23.79
24205,3.99,1.99,-15.37,0.97,15.88,0.93
15844,-7.04,1.78,15.56,1.02,17.08,1.09
108060,-182.56,8.28,-294.48,6.39,346.47,7.08
1191,-93.20,13.16,-67.01,4.39,114.79,12.54
20019,-46.89,5.53,35.97,1.90,59.10,3.77
43095,16.64,6.27,-8.60,4.62,18.73,5.86
80854,16.15,7.91,88.17,5.40,89.63,5.60
28443,-223.27,33.90,-96.04,16.99,243.05,33.45
59893,471.15,13.64,-311.01,6.38,564.54,10.85
13769,-122.87,10.86,-84.42,6.80,149.08,10.13
66200,10.12,15.29,-1.99,6.74,10.31,14.59
28473,-90.64,16.98,36.29,9.06,97.63,15.43
103922,-281.46,38.46,73.49,15.52,290.90,35.65
38969,36.37,3.20,227.47,2.15,230.36,2.22
62039,2.34,2.91,6.58,1.08,6.98,1.75
1260,-154.63,31.29,-15.98,12.03,155.46,31.75
83020,8.38,0.67,4.08,0.47,9.32,0.65
26412,-75.14,3.02,503.41,2.52,508.99,2.53
51579,56.10,3.04,21.41,1.65,60.04,3.01
9677,-334.77,30.16,-52.96,16.75,338.93,30.36
36917,39.34,19.69,231.91,13.07,235.22,13.57
22203,-2.22,4.23,24.60,1.54,24.70,1.36
3391,3.50,1.81,4.72,0.95,5.88,1.45
116559,153.52,6.30,-236.79,2.39,282.20,2.97
22207,-651.38,49.77,-150.44,14.00,668.53,51.40
1294,-47.36,4.35,46.05,2.47,66.06,3.30
1295,8.02,3.74,11.24,2.66,13.81,3.16
93528,-10.40,1.98,-5.23,1.67,11.64,1.93
103983,249.59,28.47,118.22,17.69,276.17,27.65
1306,-95.44,58.72,-173.60,42.13,198.10,47.75
22221,-17.77,6.74,363.56,3.24,363.99,3.15
70483,186.72,18.20,-158.19,12.58,244.72,15.60
9724,-144.55,1.30,24.68,0.56,146.64,1.25
9727,408.51,34.10,-503.71,23.56,648.55,27.24
22265,-16.54,4.86,-66.66,1.52,68.68,2.48
51658,-5.03,7.01,18.82,4.35,19.48,4.38
53776,98.31,26.63,75.49,15.77,123.95,24.40
97792,-47.94,26.57,-163.04,17.93,169.94,19.30
39095,118.35,19.89,-156.89,10.58,196.52,13.16
60074,-2.02,1.14,-3.62,0.59,4.14,0.84
104071,8.35,2.97,7.39,1.59,11.15,2.64
95703,-63.13,3.20,49.56,1.78,80.26,2.56
85229,-1121.20,66.34,2045.26,53.14,2332.42,55.81
16042,166.23,16.88,101.63,7.32,194.84,16.20
93621,178.24,17.70,34.76,11.40,181.60,17.73
3493,-32.35,22.19,83.93,12.23,89.95,12.68
58001,8.36,52.39,-72.73,23.86,73.21,22.48
95740,6.07,2.46,-3.41,1.24,6.96,2.08
76901,-17.81,7.45,-17.84,3.16,25.20,6.47
3541,2.91,19.48,-52.16,9.72,52.24,9.49
66411,-700.92,5.48,157.17,2.60,718.33,5.21
81092,-39.84,16.24,209.03,8.18,212.79,7.86
1444,28.42,2.10,2.07,0.57,28.50,2.14
70623,41.11,3.70,27.01,1.95,49.19,3.48
85294,-177.71,2.57,143.77,1.91,228.59,2.29
43352,317.59,17.80,-4.48,10.51,317.62,17.78
22380,38.16,2.54,-9.60,1.04,39.35,2.36
18204,-81.46,6.20,-7.98,1.87,81.85,6.32
76952,232.73,24.02,-173.06,15.37,290.03,20.49
106255,160.65,4.95,3.31,2.83,160.68,4.96
18217,21.95,3.66,-0.94,2.05,21.97,3.64
66454,-163.23,31.43,57.75,14.18,173.14,28.41
99987,-26.81,6.63,-369.81,3.56,370.78,3.68
116758,41.90,19.87,-39.74,9.54,57.75,14.06
49699,-5.28,0.73,-6.21,0.56,8.15,0.65
26640,-92.78,48.12,-43.60,22.21,102.52,47.38
70680,-93.45,6.50,-23.66,3.72,96.40,6.51
7803,203.25,16.15,-379.51,9.41,430.51,10.39
81170,-23.57,5.30,-0.05,2.35,23.57,5.30
114714,61.05,5.91,-7.34,3.82,61.49,5.84
18274,326.71,10.36,724.38,7.20,794.65,8.06
102141,28.71,1.32,-91.08,0.72,95.50,0.73
26676,-195.69,6.64,138.81,3.35,239.92,5.29
14101,-16.38,2.59,21.60,2.04,27.11,2.22
64426,-57.25,18.41,45.53,3.92,73.14,10.55
110526,-110.12,2.10,-85.14,2.47,139.19,2.26
3662,13.13,8.87,59.21,7.81,60.65,7.88
20387,-683.66,181.11,51.97,83.40,685.63,178.69
20390,-17.05,12.02,-68.50,6.06,70.59,7.16
62345,23.18,1.69,-33.96,0.82,41.12,1.01
43465,-241.84,82.12,207.51,44.04,318.66,63.17
116838,-2.33,2.97,-34.39,0.93,34.47,1.09
89620,-33.91,1.91,-61.58,1.05,70.29,1.42
30920,42.01,4.60,-212.30,2.55,216.42,2.50
98001,-483.96,67.32,-363.17,41.77,605.07,61.98
22505,-71.46,9.17,56.74,3.02,91.25,6.05
70765,-3.62,11.01,218.76,6.23,218.79,6.20
